Line	logopath	ArticleFamily	ArticleReference	OptionReference	Pcs	Sale	News	InWebshop	Weight	RetailUnitPrice	ResellerUnitPrice	ResellerUnitDiscountPrice	DiscountQty	Thickness	LengthDiameter	Ballsize1	Ballsize2	SizeIn	Type	Type(de)	Type(fr)	Type(it)	Type(ch)	Type(pl)	Type(es)	Description	Description(de)	Description(fr)	Description(es)	Description(it)	Description(pl)	Description(ch)	BodyParts
Dilly Eyes	DEL-24	TER-24	TER-24	-	1		YES	YES	12	19.95	12	10	2						Contact Lenses	Kontaktlinsen	 Lentille de contact	Lenti a contatti			Lentillas de Contacto	"Dilly Eyes Contact Lense ""Radioactive"""	"Dilly Eyes Kontaktlinse ""Radioactive"""	"Dilly Eyes Lentille de contact ""Radioactive"""	"Dilly Eyes Lentilla de contacto ""Radioactive"""	"Dilly Eyes Lenti a contatti ""Radioactive"""			
Dilly Eyes	DEL-25	TER-25	TER-25	-	1		YES	YES	12	19.95	12	10	2						Contact Lenses	Kontaktlinsen	 Lentille de contact	Lenti a contatti			Lentillas de Contacto	"Dilly Eyes Contact Lense ""Rotation"""	"Dilly Eyes Kontaktlinse ""Rotation"""	"Dilly Eyes Lentille de contact ""Rotation"""	"Dilly Eyes Lentilla de contacto ""Rotation"""	"Dilly Eyes Lenti a contatti ""Rotation"""			
Dilly Eyes	DEL-26	TER-26	TER-26	-	1		YES	YES	12	19.95	12	10	2						Contact Lenses	Kontaktlinsen	 Lentille de contact	Lenti a contatti			Lentillas de Contacto	"Dilly Eyes Contact Lense ""Teardrop"""	"Dilly Eyes Kontaktlinse ""Teardrop"""	"Dilly Eyes Lentille de contact ""Teardrop"""	"Dilly Eyes Lentilla de contacto ""Teardrop"""	"Dilly Eyes Lenti a contatti ""Teardrop"""			
Dilly Eyes	DEL-27	TER-27	TER-27	-	1		YES	YES	12	19.95	12	10	2						Contact Lenses	Kontaktlinsen	 Lentille de contact	Lenti a contatti			Lentillas de Contacto	"Dilly Eyes Contact Lense ""Moonlight"""	"Dilly Eyes Kontaktlinse ""Moonlight"""	"Dilly Eyes Lentille de contact ""Moonlight"""	"Dilly Eyes Lentilla de contacto ""Moonlight"""	"Dilly Eyes Lenti a contatti ""Moonlight"""			
Dilly Eyes	DEL-28	TER-28	TER-28	-	1		YES	YES	12	19.95	12	10	2						Contact Lenses	Kontaktlinsen	 Lentille de contact	Lenti a contatti			Lentillas de Contacto	"Dilly Eyes Contact Lense ""Black Magic"""	"Dilly Eyes Kontaktlinse ""Black Magic"""	"Dilly Eyes Lentille de contact ""Black Magic"""	"Dilly Eyes Lentilla de contacto ""Black Magic"""	"Dilly Eyes Lenti a contatti ""Black Magic"""			
Dilly Eyes	DEL-29	TER-29	TER-29	-	1		YES	YES	12	19.95	12	10	2						Contact Lenses	Kontaktlinsen	 Lentille de contact	Lenti a contatti			Lentillas de Contacto	"Dilly Eyes Contact Lense ""Rectangle"""	"Dilly Eyes Kontaktlinse ""Rectangle"""	"Dilly Eyes Lentille de contact ""Rectangle"""	"Dilly Eyes Lentilla de contacto ""Rectangle"""	"Dilly Eyes Lenti a contatti ""Rectangle"""			
Dilly Eyes	DEL-30	TER-30	TER-30	-	1		YES	YES	12	19.95	12	10	2						Contact Lenses	Kontaktlinsen	 Lentille de contact	Lenti a contatti			Lentillas de Contacto	"Dilly Eyes Contact Lense ""Spades"""	"Dilly Eyes Kontaktlinse ""Spades"""	"Dilly Eyes Lentille de contact ""Spades"""	"Dilly Eyes Lentilla de contacto ""Spades"""	"Dilly Eyes Lenti a contatti ""Spades"""			
Dilly Eyes	DEL-31	TER-31	TER-31	-	1		YES	YES	12	19.95	12	10	2						Contact Lenses	Kontaktlinsen	 Lentille de contact	Lenti a contatti			Lentillas de Contacto	"Dilly Eyes Contact Lense ""Arrow"""	"Dilly Eyes Kontaktlinse ""Arrow"""	"Dilly Eyes Lentille de contact ""Arrow"""	"Dilly Eyes Lentilla de contacto ""Arrow"""	"Dilly Eyes Lenti a contatti ""Arrow"""			
Dilly Eyes	DEL-32	TER-32	TER-32	-	1		YES	YES	12	19.95	12	10	2						Contact Lenses	Kontaktlinsen	 Lentille de contact	Lenti a contatti			Lentillas de Contacto	"Dilly Eyes Contact Lense ""Checkered"""	"Dilly Eyes Kontaktlinse ""Checkered"""	"Dilly Eyes Lentille de contact ""Checkered"""	"Dilly Eyes Lentilla de contacto ""Checkered"""	"Dilly Eyes Lenti a contatti ""Checkered"""			
Dilly Eyes	DEL-33	TER-33	TER-33	-	1		YES	YES	12	19.95	12	10	2						Contact Lenses	Kontaktlinsen	 Lentille de contact	Lenti a contatti			Lentillas de Contacto	"Dilly Eyes Contact Lense ""Triple Pupil"""	"Dilly Eyes Kontaktlinse ""Triple Pupil"""	"Dilly Eyes Lentille de contact ""Triple Pupil"""	"Dilly Eyes Lentilla de contacto ""Triple Pupil"""	"Dilly Eyes Lenti a contatti ""Triple Pupil"""			
