Line	logopath	ArticleFamily	ArticleReference	OptionReference	Pcs	Sale	News	InWebshop	Weight	RetailUnitPrice	ResellerUnitPrice	ResellerUnitDiscountPrice	DiscountQty	Thickness	LengthDiameter	Ballsize1	Ballsize2	SizeIn	Type	Type(de)	Type(fr)	Type(it)	Type(ch)	Type(pl)	Type(es)	Description	Description(de)	Description(fr)	Description(es)	Description(it)	Description(pl)	Description(ch)	BodyParts
STERLING SILVER	JCE1-CC	JCE1-CC	JCE1-CC	S-CC	1		YES	YES	28	10	21	19	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution Dice	Crystal Evolution Würfel	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE1-BK	JCE1-BK	JCE1-BK	S-BK	1		YES	YES	28	59	21	19	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution Dice	Crystal Evolution Würfel	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE1-LP	JCE1-LP	JCE1-LP	S-LP	1				28	59	21	19	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution Dice	Crystal Evolution Würfel	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE2-RE	JCE2-RE	JCE2-RE	S-RE	1		YES	YES	28	59	21	19	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution DEVILHEART	Crystal Evolution Teufelsherz	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE2-PU	JCE2-PU	JCE2-PU	S-PU	1		YES	YES	28	59	21	19	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution DEVILHEART	Crystal Evolution Teufelsherz	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE2-TA	JCE2-TA	JCE2-TA	S-TA	1		YES	YES	28	59	21	19	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution DEVILHEART	Crystal Evolution Teufelsherz	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE2-LP	JCE2-LP	JCE2-LP	S-LP	1		YES	YES	28	59	21	19	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution DEVILHEART	Crystal Evolution Teufelsherz	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE2-BZ	JCE2-BZ	JCE2-BZ	S-BZ	1		YES	YES	28	59	21	19	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution DEVILHEART	Crystal Evolution Teufelsherz	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE2-CC	JCE2-CC	JCE2-CC	S-CC	1		YES	YES	28	59	21	19	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution DEVILHEART	Crystal Evolution Teufelsherz	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE2-CH	JCE2-CH	JCE2-CH	S-CH	1		YES	YES	28	59	21	19	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution DEVILHEART	Crystal Evolution Teufelsherz	Crystal Evolution	Crystal Evolution				
